name,address,위도,경도
행운복권,충북 제천시 명륜로 67 1층,0,0
위드미청주예체로점,충북 청주시 서원구 예체로19번길 3 ,36.627769445,127.468611354
썬마트,충북 청주시 흥덕구 진재로23번길 25,36.632575458,127.428127719
나눔로또,충남 논산시 중앙로 201 ,36.186148299,127.102706166
안계 나눔로또,경북 의성군 안계시장길 43 ,36.385201406,128.436991825
내복권방,서울 노원구 노원로1나길 5 1층,37.621248464,127.082886302
GS25(반포중앙점),서울 서초구 사평대로55길 37 1층,0,0
홈플러스앞가로판매점,서울 양천구 등촌로 172 등촌빌딩 ,37.544883741,126.862507278
문구뱅크,서울 은평구 서오릉로 71 영화마스타골프랜드 문구뱅크,37.607007252,126.921952818
묵동식품,서울 중랑구 동일로 919,0,0
복터졌네 대박로또,부산 사상구 광장로21번길 46  ,35.165253345,128.979796892
태수상사,대구 달서구 월배로39길 30 이마트24달서월배로점,35.820251089,128.532504621
용두천하,광주 북구 하서로 373 ,35.208357521,126.873485371
파크애비뉴,경기 화성시 동탄공원로3길 40-6 102호,0,0
Letsgo복권방,전북 전주시 완산구 평화로 190 ,0,0
스마일복권방,경북 김천시 영남대로 2087 101호,36.115142169,128.156521043
동원마트,서울 강동구 풍성로 209,37.529346997,127.135098002
토큰박스(하나백화점앞),대구 북구 팔달로 177,35.888796722,128.569598384
노다지복권방,인천 미추홀구 한나루로 400 학익시장 외7필지125호,0,0
노다지복권방,인천 미추홀구 한나루로 400 학익시장 외7필지125호,37.443110210,126.665119336
중흥마트,광주 북구 문산로 30 중흥2차 아파트상가 1층,0,0
이마트24 일산덕이점,경기 고양시 일산서구 미래로 164  ,37.693066597,126.746880588
대광슈퍼,경기 군포시 고산로 679 미성프라자 미성프라자106호,0,0
대운,경기 김포시 대명항로 209 ,0,0
오남 로또택배,경기 남양주시 진건오남로 814 B동 1층 5호,0,0
별내로또(픽미픽미아이스삼육대점),경기 남양주시 불암로 35 102호,37.644375653,127.111553639
왕대박복권전문점,강원 동해시 중앙로 234 이주민상가1층18호,37.521484651,129.115081287
나래복권,충북 충주시 충원대로 952 1층,37.010679224,127.915865088
운수대통복권샵,전북 전주시 완산구 중화산로 101,0,0
서교동가판점,서울 마포구 양화로 115 ,0,0
용꿈돼지꿈,서울 마포구 마포대로 112-5 ,0,0
어머화장품,서울 송파구 가락로11길 19 ,37.502061244,127.104074672
로또복권방,부산 해운대구 재반로 249 ,0,0
노다지로또,인천 서구 완정로  179 검단제이원빌딩 108호,37.602259851,126.656534449
오포우림로또,경기 광주시 오포로 899 우림아파트 상가 1층 109호,0,0
오이도직판장마트,경기 시흥시 오이도로 167 오이도이주단지B,0,0
더드림,경기 안산시 상록구 예술대학로 226 상가2호,37.336024527,126.843163378
행운복권방,경기 안성시 서동대로 7184 광장휴게소 1층 복권방,37.084253894,127.449003549
대성기획,경기 용인시 기흥구 구성로 75-1 ,37.294906461,127.117903154
로또마트,경기 평택시 고덕여염10길 86 104호,37.041554534,127.050201227
서정천하명당,경기 평택시 송탄로 160 ,0,0
달성로또복권판매소,충남 아산시 온천대로 1531 ,36.780778961,127.007905229
스파,서울 노원구 동일로 1493 상계주공아파트,0,0
로또수락산점,서울 노원구 동일로 1689 대덕하이베라스101호,37.679121418,127.054967647
천하명당복권방,인천 계양구 안남로 466 1층,0,0
관촌방,경기 이천시 경충대로 2241 1층 상가,0,0
동행행운lotto방,경기 화성시 한절이1길 6-13 ,0,0
GMART,경북 구미시 구미중앙로 57-3,0,0
GS25(양산신평점),경남 양산시 신평중앙길 1 GS25 ,0,0
미니24시,인천 미추홀구 경인로 437 ,0,0
진우행운복권방,경기 광주시 도척로 327 1층,0,0
행복한삼남매,경기 양평군 강남로 689 1층,0,0
서울로또방,충북 옥천군 옥천읍 삼금로 8 ,0,0
팡팡복권방,전북 익산시 인북로 99 ,35.937945000,126.952640077
로또명당 중리점,경남 창원시 마산회원구 옥정1길 21 수미산장 1층,35.249345278,128.522503721
천하명당관악점,서울 관악구 보라매로2길 11 ,37.490087646,126.928691096
뮤직마트,서울 서초구 강남대로 212 ,0,0
럭키,부산 북구 시랑로 138 ,0,0
CU(좌동중앙점),부산 해운대구 양운로 98 대하프라자1층 CU좌동중앙점,35.171697402,129.174850999
복권명당(서부점),대구 달서구 월배로 452 ,35.833656054,128.554775513
빛고을로또,광주 광산구 소촌로 147 세븐일레븐,0,0
GS25(대전도룡점),대전 유성구 대덕대로 594 타워코리아나주상복 ,36.385962759,127.379005596
천마산 쉼터 복권명당,경기 남양주시 묵현로 11-3 1층 7호,37.657248630,127.289218717
가판점,경기 부천시 자유로 33 이마트앞 지하도입구,37.483847576,126.779861691
대박복권방,경기 안산시 단원구 신길중앙로1길 40 101호,37.336107521,126.762280674
로또휴게실,경기 용인시 기흥구 용구대로 1885 ,0,0
씨유 용인포곡둔전점,경기 용인시 처인구 포곡로118번길 26-1 유성시티빌 103호,0,0
일등드림복권방,경기 화성시 경기동로 476 ,0,0
로또천국,충북 충주시 금봉1길  48 1층,0,0
수복권방,충남 천안시 서북구 한들1로 88 천안백석LH천년나무1단지아파트 상가동 103호,36.830276313,127.118130849
GS25(천안장미점),충남 천안시 서북구 미라2길 22-4,0,0
대영당안경원,부산 동래구 충렬대로237번길 9,35.201902242,129.085181281
아트슈퍼,부산 부산진구 가야대로 490 ,35.152904777,129.025596990
로또복권방,경기 안양시 만안구 경수대로 1265 103호,37.420136502,126.908905710
복권방,경기 하남시 신장로 122,37.538074379,127.204802282
로또왕대박,경기 화성시 와우안길 46 1층,0,0
금능마트,충북 충주시 후곡길 19 금능마트,36.993298783,127.930738311
LH로또,전북 전주시 완산구 호암로 91 ,35.808486344,127.104269126
명품로또,경북 구미시 신시로 10  ,0,0
복권나라,서울 관악구 남부순환로 1739-9 ,37.482802711,126.943497088
보성정보통신,서울 동대문구 장한로2길 24 ,37.561898752,127.066521252
로또지물포,서울 마포구 방울내로 78 ,37.560432181,126.904120986
패밀리마트전포점,부산 부산진구  당감로 27-1 1층,35.164175006,129.039337666
로또명당,대구 달서구 월성로 20 건도파라다이스 105-1호,35.831588286,128.533165573
성명당,인천 미추홀구 한나루로 598-4 ,0,0
명품로또,세종 새롬중앙1로 13 새뜸마을6단지 114호,0,0
로또판매점,경기 시흥시 금오로 503 ,37.446902834,126.832022914
축복큰대운집,경기 파주시 금정로 77 성진인테리어 1층,37.761635219,126.773220451
금강안경원,전북 군산시 중앙로 186 1001안경콘텍트 ,0,0
행운하우스,전북 전주시 덕진구 송천4길 56-14,35.862370744,127.115121984
이마트24 순천산단점,전남 순천시 산단1길 6 중앙정밀기계,34.987992607,127.508180831
로터리편의마트,경북 포항시 북구 서동로 85 육거리,0,0
잠실나루역2번출구,서울 송파구 올림픽로37길 109 잠실나루역 2번출구,37.522586145,127.104639508
일등복권편의점,대구 달서구 대명천로 220 1층,0,0
천하명당복권방,인천 계양구 안남로 466 1층,37.524458899,126.710860652
로또까페,인천 계양구 길마로 35 구일빌딩 1층 102호,37.534060313,126.709616577
노다지복권방,경기 용인시 처인구 금령로 130,0,0
올인(allin),경기 화성시 3.1만세로 1147 ,37.135274413,126.910529471
로또마당,충북 충주시 국원대로 356 1층 세븐일레븐,37.003193887,127.930024513
스타복권방,충남 논산시 안심로 72 ,0,0
목화휴게소,경남 사천시 사천대로 912 목화휴게소식당 ,0,0
양산역씨유점,경남 양산시 양산역6길 3 센트럴스위트 112호 CU편의점,35.337800445,129.026602672
잠실매점,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판,0,0
대박복권방,서울 양천구 오목로 233 1층1호,37.526157070,126.863289220
영일식품,서울 영등포구 당산로32길 10 ,0,0
우정식품,부산 동래구 온천장로 39 ,0,0
황금돼지로또,부산 수영구 광남로48번길 12 ,35.146378377,129.112446737
버스매표소,인천 부평구 부평대로 3 가판,0,0
원흥로또 앤 픽미아이스,경기 고양시 덕양구 삼송로 12  ,0,0
로또복권방,경기 군포시 산본로323번길 16-6 신명타워 신명빌딩1층1005호,0,0
GS25(수원매탄점),경기 수원시 영통구 인계로 239 성일프라자117호,37.264620488,127.044832306
777천하명당,충남 서천군 충절로 54 ,0,0
대산슈퍼,충남 천안시 동남구 복구정3길 1 로단판매점 ,0,0
행운복권,서울 강북구 솔샘로 212 신영빌딩 1층,37.619964161,127.016232879
일등복권,서울 강서구 초원로 83 101호,37.567737254,126.814766364
해태식품,서울 금천구 시흥대로50길 9 ,37.451450599,126.902598850
프로통신,인천 남동구 구월로 366 ,0,0
알뜰슈퍼,경기 동두천시 평화로 2436-1 4/6,37.905257293,127.058269501
일등복권방,경기 부천시 삼작로 481 영미빌딩,0,0
성진마트,경기 부천시 수도로 123,0,0
천하명당,경기 시흥시 신천3길 26-1 1층1호,37.438916361,126.783322622
1등 복권,경기 시흥시 배곧4로 32-27 광장프라자 105호,37.377700090,126.725624970
지우시스템,경기 안성시 덕봉서원로 37 ,37.007829907,127.169892652
미래유통,전남 목포시 영산로 623 ,0,0
세방매점,경북 경주시 산업로 4447 ,35.876666794,129.226478964
로또복권판매,경북 상주시 삼백로 159 ,0,0
정우빌딩,경남 진주시 평거로 38 세븐일레븐 내,35.173543329,128.064831747
교통카드충전소,서울 강남구 선릉로 309 ,0,0
행운마트,서울 노원구 중계로 96,0,0
대박로또,서울 송파구 마천로57길 5 마천빌딩 ,37.494554965,127.151923481
통일마트,서울 종로구 종로 19 르메이에르종로타운 110-1호,37.570846289,126.979923570
중구-가로가판대-37,서울 중구 남대문로 20-2,37.560829170,126.978063414
CU(망우점),서울 중랑구 망우로 410,0,0
정다운복권 조이마트,인천 부평구 충선로 171 1층,37.504549703,126.736292687
장군슈퍼,인천 연수구 청량로 104 ,0,0
오천억복권방,광주 서구 상무대로 1087 ,0,0
행운복권,경기 성남시 중원구 시민로 120 ,0,0
스마일로또복권,경기 평택시 탄현1로 104 104호,0,0
율암25시편의점,경기 화성시 시청로 822-10 ,0,0
복드림로또판매점,충북 충주시 첨단산업9로 13 1충,36.998963314,127.840550294
대박복권마을,서울 영등포구 당산로 140 ,0,0
당산로또명당점,서울 영등포구 양평로 52 ,37.534655290,126.900875295
운수대통복권방,전북 익산시 무왕로23길 3 ,0,0
CU(포항오거리점),경북 포항시 북구 죽도로 33,36.033836687,129.364675574
로또카페,서울 강서구 강서로74길 3 가양빌딩 1층 6호,37.567883992,126.841513179
대화식품,서울 금천구 가산로 53 3호,37.471143125,126.896904227
