,name,address
102,파크애비뉴,경기 화성시 동탄공원로3길 40-6 102호
103,Letsgo복권방,전북 전주시 완산구 평화로 190 
104,스마일복권방,경북 김천시 영남대로 2087 101호
105,동원마트,"서울 강동구 풍성로 209,(성내동) "
106,토큰박스(하나백화점앞),"대구 북구 팔달로 177,(노원동2가) "
107,노다지복권방,인천 미추홀구 한나루로 400 학익시장 외7필지125호
108,노다지복권방,인천 미추홀구 한나루로 400 학익시장 외7필지125호
109,중흥마트,광주 북구 문산로 30 중흥2차 아파트상가 1층
110,이마트24 일산덕이점,경기 고양시 일산서구 미래로 164  
111,대광슈퍼,경기 군포시 고산로 679 미성프라자 미성프라자106호
112,대운,경기 김포시 대명항로 209 
113,오남 로또택배,경기 남양주시 진건오남로 814 B동 1층 5호
114,별내로또(픽미픽미아이스삼육대점),경기 남양주시 불암로 35 102호
115,왕대박복권전문점,강원 동해시 중앙로 234 이주민상가1층18호
116,나래복권,충북 충주시 충원대로 952 1층
117,운수대통복권샵,"전북 전주시 완산구 중화산로 101,(중화산동2가) "
118,서교동가판점,서울 마포구 양화로 115 
119,용꿈돼지꿈,서울 마포구 마포대로 112-5 
120,어머화장품,서울 송파구 가락로11길 19 
121,로또복권방,부산 해운대구 재반로 249 
122,노다지로또,인천 서구 완정로  179 검단제이원빌딩 108호
123,오포우림로또,경기 광주시 오포로 899 우림아파트 상가 1층 109호
124,오이도직판장마트,경기 시흥시 오이도로 167 오이도이주단지B
125,더드림,경기 안산시 상록구 예술대학로 226 상가2호
126,행운복권방,경기 안성시 서동대로 7184 광장휴게소 1층 복권방
127,대성기획,경기 용인시 기흥구 구성로 75-1 
128,로또마트,경기 평택시 고덕여염10길 86 104호
129,서정천하명당,경기 평택시 송탄로 160 
130,달성로또복권판매소,충남 아산시 온천대로 1531 
131,스파,서울 노원구 동일로 1493 상계주공아파트(10단지) 주공10단지종합상가111
132,로또수락산점,서울 노원구 동일로 1689 대덕하이베라스101호
133,천하명당복권방,인천 계양구 안남로 466 1층
134,관촌방,경기 이천시 경충대로 2241 1층 상가
135,동행행운lotto방,경기 화성시 한절이1길 6-13 
136,GMART,"경북 구미시 구미중앙로 57-3,(원평동) "
137,GS25(양산신평점),경남 양산시 신평중앙길 1 GS25 
138,미니24시,인천 미추홀구 경인로 437 
139,진우행운복권방,경기 광주시 도척로 327 1층
140,행복한삼남매,경기 양평군 강남로 689 1층
141,서울로또방,충북 옥천군 옥천읍 삼금로 8 
142,팡팡복권방,전북 익산시 인북로 99 
143,로또명당 중리점,경남 창원시 마산회원구 옥정1길 21 수미산장 1층
144,천하명당관악점,서울 관악구 보라매로2길 11 
145,뮤직마트,서울 서초구 강남대로 212 
146,럭키,부산 북구 시랑로 138 
147,CU(좌동중앙점),부산 해운대구 양운로 98 대하프라자1층 CU좌동중앙점
148,복권명당(서부점),대구 달서구 월배로 452 
149,빛고을로또,광주 광산구 소촌로 147 세븐일레븐
150,GS25(대전도룡점),대전 유성구 대덕대로 594 타워코리아나주상복 
151,천마산 쉼터 복권명당,경기 남양주시 묵현로 11-3 1층 7호
152,가판점,경기 부천시 자유로 33 이마트앞 지하도입구
153,대박복권방,경기 안산시 단원구 신길중앙로1길 40 101호
154,로또휴게실,경기 용인시 기흥구 용구대로 1885 
155,씨유 용인포곡둔전점,경기 용인시 처인구 포곡로118번길 26-1 유성시티빌 103호
156,일등드림복권방,경기 화성시 경기동로 476 
157,로또천국,충북 충주시 금봉1길  48 1층
158,수복권방,충남 천안시 서북구 한들1로 88 천안백석LH천년나무1단지아파트 상가동 103호
159,GS25(천안장미점),"충남 천안시 서북구 미라2길 22-4,(쌍용동) "
160,대영당안경원,"부산 동래구 충렬대로237번길 9,(수안동) "
161,아트슈퍼,부산 부산진구 가야대로 490 
162,로또복권방,경기 안양시 만안구 경수대로 1265 103호
163,복권방,"경기 하남시 신장로 122,(신장동) "
164,로또왕대박,경기 화성시 와우안길 46 1층
165,금능마트,충북 충주시 후곡길 19 금능마트
166,LH로또,전북 전주시 완산구 호암로 91 
167,명품로또,경북 구미시 신시로 10  
168,복권나라,서울 관악구 남부순환로 1739-9 
169,보성정보통신,서울 동대문구 장한로2길 24 
170,로또지물포,서울 마포구 방울내로 78 
171,패밀리마트전포점,부산 부산진구  당감로 27-1 1층
172,로또명당,"대구 달서구 월성로 20 건도파라다이스 105-1호,건도파라다이스"
173,성명당,인천 미추홀구 한나루로 598-4 
174,명품로또,세종 새롬중앙1로 13 새뜸마을6단지 114호
175,로또판매점,경기 시흥시 금오로 503 
176,축복큰대운집,경기 파주시 금정로 77 성진인테리어 1층
177,금강안경원,전북 군산시 중앙로 186 1001안경콘텍트 
178,행운하우스,"전북 전주시 덕진구 송천4길 56-14,(송천동1가) "
179,이마트24 순천산단점,"전남 순천시 산단1길 6 중앙정밀기계,마트 "
180,로터리편의마트,경북 포항시 북구 서동로 85 육거리
181,잠실나루역2번출구,서울 송파구 올림픽로37길 109 잠실나루역 2번출구
182,일등복권편의점,대구 달서구 대명천로 220 1층
183,천하명당복권방,인천 계양구 안남로 466 1층
184,로또까페,인천 계양구 길마로 35 구일빌딩 1층 102호
185,노다지복권방,"경기 용인시 처인구 금령로 130,(마평동) "
186,올인(allin),경기 화성시 3.1만세로 1147 
187,로또마당,충북 충주시 국원대로 356 1층 세븐일레븐
188,스타복권방,충남 논산시 안심로 72 
189,목화휴게소,경남 사천시 사천대로 912 목화휴게소식당 
190,양산역씨유점,경남 양산시 양산역6길 3 센트럴스위트 112호 CU편의점
191,잠실매점,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판
192,대박복권방,서울 양천구 오목로 233 1층1호
193,영일식품,서울 영등포구 당산로32길 10 
194,우정식품,부산 동래구 온천장로 39 
195,황금돼지로또,부산 수영구 광남로48번길 12 
196,버스매표소,인천 부평구 부평대로 3 가판
197,원흥로또 앤 픽미아이스,경기 고양시 덕양구 삼송로 12  
198,로또복권방,경기 군포시 산본로323번길 16-6 신명타워 신명빌딩1층1005호
199,GS25(수원매탄점),경기 수원시 영통구 인계로 239 성일프라자117호
200,777천하명당,충남 서천군 충절로 54 
201,대산슈퍼,충남 천안시 동남구 복구정3길 1 로단판매점 
202,행운복권,서울 강북구 솔샘로 212 신영빌딩 1층
203,일등복권,서울 강서구 초원로 83 101호
204,해태식품,서울 금천구 시흥대로50길 9 
205,프로통신,인천 남동구 구월로 366 
206,알뜰슈퍼,경기 동두천시 평화로 2436-1 4/6
207,일등복권방,경기 부천시 삼작로 481 영미빌딩
208,성진마트,"경기 부천시 수도로 123,(내동) "
209,천하명당,경기 시흥시 신천3길 26-1 1층1호
210,1등 복권,경기 시흥시 배곧4로 32-27 광장프라자 105호
211,지우시스템,경기 안성시 덕봉서원로 37 
212,미래유통,전남 목포시 영산로 623 
213,세방매점,경북 경주시 산업로 4447 (용강동)
214,로또복권판매,경북 상주시 삼백로 159 
215,정우빌딩,경남 진주시 평거로 38 세븐일레븐 내
216,교통카드충전소,서울 강남구 선릉로 309 
217,행운마트,"서울 노원구 중계로 96,(중계동) "
218,대박로또,서울 송파구 마천로57길 5 마천빌딩 
219,통일마트,서울 종로구 종로 19 르메이에르종로타운 110-1호
220,중구-가로가판대-37,"서울 중구 남대문로 20-2,(남대문로3가) "
221,CU(망우점),"서울 중랑구 망우로 410,(망우동) "
222,정다운복권 조이마트,인천 부평구 충선로 171 1층
223,장군슈퍼,인천 연수구 청량로 104 
224,오천억복권방,광주 서구 상무대로 1087 
225,행운복권,경기 성남시 중원구 시민로 120 
226,스마일로또복권,경기 평택시 탄현1로 104 104호
227,율암25시편의점,경기 화성시 시청로 822-10 
228,복드림로또판매점,충북 충주시 첨단산업9로 13 1충
229,대박복권마을,서울 영등포구 당산로 140 
230,당산로또명당점,서울 영등포구 양평로 52 
231,운수대통복권방,전북 익산시 무왕로23길 3 
232,CU(포항오거리점),"경북 포항시 북구 죽도로 33,(죽도동) "
233,로또카페,서울 강서구 강서로74길 3 가양빌딩 1층 6호
234,대화식품,서울 금천구 가산로 53 3호
235,명신사,서울 마포구 월드컵로 97 
236,복권천국(성서점),"대구 달서구 성서로 377,(이곡동) "
237,버스매표소 복권판매소,인천 중구 우현로 69 중앙로지하상가 163호
238,또또와복권방,세종 나성북로 30 퍼스트원 어반아트리움 189호
239,현리행운복권방,경기 가평군 조종희망로 14 엄마손해장국 
240,충청복권전문점,"충남 천안시 서북구 성환읍 성환2로 108,(성환리) "
241,인터넷 복권판매사이트,동행복권(dhlottery.co.kr) 
242,버스판매소,서울 영등포구 영중로 13 신세계앞
243,부일카서비스,부산 동구 자성로133번길 35 
244,천운 복권방,인천 미추홀구 매소홀로 468 
245,365대박찬스,경기 양주시 고읍로 96 그린프라자 
246,정우,경기 용인시 처인구 백옥대로 607 G마트 대농파머스건물내
247,혹시나도,충북 음성군  감곡면 장감로149번길 4-4 복권방
248,행운복권,서울 노원구 동일로 992 1층
249,나라시스컴,서울 영등포구 영등포로 225 영신상가1호
250,복권방,부산 사하구 장림번영로 25 
251,로또복권,인천 서구 염곡로 343-4 
252,가두판매점,경기 안양시 만안구 안양로 265 우리은행 안양중앙지점 우리은행앞도로
253,창미슈퍼,경기 화성시 남양성지로 155 
254,이마트24 순천산단점,"전남 순천시 산단1길 6 중앙정밀기계,마트 "
255,365팡팡복권,경남 김해시 진영읍 장등로 53 상가136동108호
256,민준복권,경기 군포시 삼성로 5 해피시티 104호(부곡동 해피시티)
257,패밀리복권방,경기 남양주시 늘을2로 20 CH리베로원 103호
258,하나로슈퍼복권방,경기 성남시 수정구 수정로366번길 8 대경맨션 대경빌라102호
259,영화모음,경기 수원시 장안구 금당로39번길 6 뉴타운프라자A-107
260,그랜드로또,경북 구미시  비산로5길 23 
261,복권명당,경북 구미시 구미중앙로 72 
262,완월로또,경남 창원시 마산합포구 고운로 175 한미초록빌라 세븐일레븐 내
263,함안 복권방,경남 함안군 함안대로 552 1층
264,CU(용두으뜸점),"서울 동대문구 안암로 52,(용두동) "
265,신나라,서울 영등포구 선유로 58 
266,로또복권판매점,부산 사하구 괴정로57번길 54 
267,복권판매점,인천 남동구 구월말로58번길 5-3 1층
268,행운 마트,인천 남동구 만수로 65 
269,동성슈퍼,울산 울주군 북문1길 7 101호
270,나눔이매로또,경기 성남시 분당구 양현로94번길 21 구두28호점
271,나눔이매로또,경기 성남시 분당구 양현로94번길 21 구두28호점
272,나눔이매로또,경기 성남시 분당구 양현로94번길 21 구두28호점
273,나눔이매로또,경기 성남시 분당구 양현로94번길 21 구두28호점
274,오거리복권방,경기 수원시 권선구 구운로85번길 6 1층(구운동) 주차장 안쪽
275,마이더스로또복권방,"경기 안양시 동안구 안양판교로 12-2,(관양동) "
276,로또판매점,경기 포천시 호국로 1900 
277,도깨비방망이,전남 완도군 완도읍 장보고대로 220 도깨비방망이
278,대동복권방,경남 김해시 월산로 112-57 월산마을5단지두산위브아파트상가 이마트편의점 좌측 복권판매점
279,Goodday복권전문점,경남 창원시 성산구 반송로50번길 14 
280,미소마트,서울 강남구 밤고개로 219 강남블루지움 105호
281,우리은행금호동지점앞가판,서울 성동구 장터길 46 
282,경동플러스,부산 해운대구 세실로 30 경동G-PLUS아파트상가103
283,계대마트,대구 달서구 계대동문로 26 1층
284,나눔로또 스포츠토토(김포장기점),경기 김포시 김포한강1로78번길 7 장기음식주차타운 1층 110호
285,천하명당복권방,경남 거제시 옥포성안로 60 
286,수퍼복권나라,경남 김해시 율하1로 110 101호 복권판매점
287,씨유역삼에클라트로또판매점,서울 강남구 테헤란로20길 19 엘지에클라트 1층 씨유역삼에클라트점
288,행운플러스,대전 대덕구 덕암로 214 
289,복권명당,"대전 서구 만년남로3번길 164,(만년동) "
290,행운복권방,경기 수원시 영통구 반달로7번길 40 평익칼라스위트 평익칼라스위트110호
291,노다지복권방,경기 시흥시 복지로 103-1 1층상가
292,복권명당,경북 구미시 구미중앙로 72 
293,헬로마트,"서울 도봉구 도봉로170길 8,(도봉동) "
294,행운복권마트,서울 종로구 지봉로 58 
295,뉴빅마트,부산 기장군 정관중앙로 48 106호
296,명당일세,경기 평택시 평택로 80 
297,대박복권,충남 홍성군 충서로 2423 세븐일레븐
298,로또복권 황성점,경북 경주시 황성로27번길 2 4호
299,로또방양덕점,경북 포항시 북구 양덕로50번길 14 이마트24포항양덕점
300,씨유(거창대동점),"경남 거창군 거창읍 거창대로 93,(대동리) "
301,나눔로또,경남 함안군 용산1길 33 1층
302,성자점빵,제주 제주시 남광로 5 1층
303,GS25(청담중앙점),서울 강남구 선릉로148길 32 
304,가로판매점,"서울 서대문구 신촌로 5 창천동, 동교동로터리"
305,행운복권방,"부산 중구 구덕로 47,(남포동5가) "
306,GS25(계산동경점),인천 계양구 계양문화로 55 도쿄프라자1층2호
307,한국종합빌딩(복권),인천 남동구 경인로 530 1층
308,한솔복권&마트,인천 미추홀구 경인로 384 1층 1호
309,3정승로또복권방,광주 북구 삼정로 10 두암주공4단지아파트 주공4단지 1층 우리마트
310,우리들(북구청점),울산 북구 무룡로  29 1층 우리들편의점 내
311,25시슈퍼,경기 시흥시 함송로14번길 13-17 홍익프라자1층107호
312,백석상회,경기 양주시 백석읍 양주산성로 550 
313,평택21세기편의점,경기 평택시 중앙로 284 1층 21세기편의점
314,터미널분식,충남 부여군 부장대로 65 
315,복권백화점,서울 마포구 월드컵로 157 
316,CU(초읍대공원점),부산 부산진구 성지로 160 목화빌딩
317,이마트24 광안리굿-7,부산 수영구 광안로 49 
318,우리들공업탑점,울산 남구 수암로 11 
319,지화자,"경기 성남시 수정구 위례광장로 328 1층 116호(창곡동, 우성위례타워)"
320,복권백화점,"경기 파주시 평화로 70,(금촌동) "
321,행운복권방,경기 포천시 솔모루로 86-1 
322,로또복권방,충남 당진시 반촌로 199 
323,로또명당인주점,충남 아산시 서해로 519-2 
324,프로또마트,서울 구로구 고척로 156 1층4호
325,다모아,서울 구로구 공원로6나길 39-1 
326,몽곡사,서울 영등포구 버드나루로 51 조광빌딩105호
327,왕대박,부산 동래구 여고로113번길 59-4 
328,명당골복권방,경기 수원시 권선구 동수원로242번길 15 104호
329,로또복권4공단점,경북 구미시 첨단기업1로 18 
330,CU(삼천포점),"경남 사천시 주공로 24,(벌리동) "
331,창원병원앞매표소,경남 창원시 성산구 창원대로 721 가판
332,로또판매점,서울 관악구 관천로10길 20 1층
333,복권천국,"대구 중구 달구벌대로 2214,(대봉동) "
334,북문복권방,경기 수원시 장안구 정조로 927-1 생맥주타운 
335,장미슈퍼,충남 부여군 부여읍 계백로 265 부여군청 로터리 부근
336,로또명당인주점,충남 아산시 서해로 519-2 
337,CU(구미사곡점),경북 구미시 상사동로 151-4 
338,대박찬스,"서울 강북구 솔매로 105-1,(미아동) "
339,버스판매소,서울 영등포구 영중로 13 신세계앞
340,돈벼락복권방,대구 북구 동변로 82-1 1층
341,제일슈퍼,인천 연수구 앵고개로 242 제일상가112호
342,그린편의점,광주 서구 매월2로 53 광주산업용재유통센터 23동 103호
343,GS25(대전월평점),대전 서구 월평동로 45 진달래아파트상가
344,대림통상,울산 중구 신기14길 1 일신아파트 일신아파트상가102호
345,버스표판매소,경기 고양시 덕양구 화신로 76 샘터마을1단지아파트 971번지선
346,금강복권,경기 김포시 율생로 3 
347,금도끼복권방,경기 양평군 용문로 812 1층
348,SK행운편의점,경기 오산시 내삼미로79번길 12 베네치아B동 103호
349,행복드림,경기 화성시 메타폴리스로 42 디앤씨빌딩 104호
350,운수대통복권방,충남 천안시 동남구 대흥로 122 중앙시장 입구
351,복권나라,전남 목포시 당가두로14번길 47-1 103호 복권나라
352,세방매점,경북 경주시 산업로 4447 (용강동)
353,굿럭스토어,경북 경주시 양정로328번길 18 1층
354,꿈의가게,경남 김해시 계동로 220 102호 복권판매점
355,천하명당초량점,부산 동구 중앙대로221번길 3 
356,싱글벙글 6/45,부산 연제구 중앙대로 1041 좌측 싱글벙글복권방
357,스카이편의점,"경기 안양시 만안구 박달로 527,(박달동) "
358,열두보석복권방,경기 용인시 기흥구 구갈로 74 구갈스포츠센타 구갈스포츠센터106호
359,로또명당해미점,충남 서산시 남문2로 108 
360,행복 복권판매점,경남 양산시 상북중앙로 382 신흥부동산 
361,행복 복권판매점,경남 양산시 상북중앙로 382 신흥부동산 
362,상호없음,서울 중구 세종대로 92 한화금융센터 태평로 
363,훼미리팔공지묘점내로또복권판매점,대구 동구 파계로 83 
364,LOTTO가맹점,인천 연수구 선학로 101 뉴서울1차아파트 
365,드림월드,경기 성남시 수정구 수정로 346 백강빌딩 
366,대일사,"경북 영천시 동부로 31-6,(야사동) "
367,복권방,서울 구로구 구로동 409-80번지 1층
368,인터넷 복권판매사이트,동행복권(dhlottery.co.kr) 
369,올림픽점,서울 송파구 충민로 66 가든파이브라이프 테크노관 10층 T-10011호
370,나라시스컴,서울 영등포구 영등포로 225 영신상가1호
371,배임,서울 용산구 보광로 19 1층
372,뉴빅마트,부산 기장군 정관중앙로 48 106호
373,스파편의점,부산 사상구 가야대로 288 창조상가106호
374,롯데무역,부산 영도구 꿈나무길 197 1층 복권방
375,GS25(대전둔산점),대전 서구 문정로 114 
376,복권명당,"대전 중구 목중로54번길 2,(중촌동) "
377,천사로또방,경기 남양주시 사릉로34번길 24 1층 7호
378,새로나마트,경기 부천시 부흥로352번길 10 동서빌딩 새로나마트
379,이마트24사창대로점,충북 청주시 서원구 1순환로 635 
380,우리로또,충남 서산시 충의로 1231 화천슈퍼 이마트24편의점
381,복권명당,충남 아산시 음봉로 582 지원타운 
382,돈벼락맞은로또,충남 천안시 서북구 4산단7로 34 CU편의점 내
383,복권명당,경북 구미시 구미중앙로 72 
384,천하명당복권방,경남 진주시 진양호로 564 
385,강북구교통카드판매대,서울 강북구 솔샘로 260 가판
386,씨스페이스(영도대평점),부산 영도구 태종로 64-1 대교동 사거리
387,오포우림로또,경기 광주시 오포로 899 우림아파트 상가 1층 109호
388,대박복권방,경기 양주시 가래비길 33 
389,주택복권방,강원 원주시 우산초교길 29 1층
390,활력,충남 서산시 고운로 202 
391,행운마트,충남 아산시 서해로 654 
392,천하명당복권방,충남 홍성군 조양로 180 
393,드림로또,경남 양산시 삼일로 73 CU양산황제점 내
394,삼삼마트,경남 진주시 진주대로 1165-1 
395,토큰박스,서울 동작구 흑석로 106-5 가판점
396,인터넷 복권판매사이트,동행복권(dhlottery.co.kr) 
397,로또복권판매장,서울 서초구 방배중앙로 166-1 
398,GS25(하이비젼점),인천 남동구 남동대로777번길 18 하이비젼빌딩101호
399,나눔로또,세종  장군면 도계리 154-1 CU편의점
400,로또복권짱,"경기 용인시 처인구 동부로 33,(마평동) "
401,장원급제로또복권방,경기 이천시 장감로 11 
402,명성복권방,경기 화성시 경기대로 1043 
403,대박의터,강원 춘천시 영서로 1786 
404,고속로또,전남 목포시 영산로 95-2 약국 내
405,마산부림마트,경남 창원시 마산합포구 3·15대로 345 4필지
406,GS25(계산동경점),인천 계양구 계양문화로 55 도쿄프라자1층2호
407,행운복권,세종 충현로 31 
408,드림,경기 수원시 권선구 정조로 615 
409,행운로또,경기 하남시 미사강변중앙로 164 미타워 101호
410,공주복권방,충남 공주시 웅진로 210-2 
411,왕대박로또,전북 전주시 덕진구 만성북1길 3  
412,버스토큰판매소,서울 구로구 시흥대로 577 꽃집 옆 가판대
413,인터넷 복권판매사이트,동행복권(dhlottery.co.kr) 
414,노다지복권방,"서울 중구 다산로44길 15,(신당동) "
415,GS25(남항점),"부산 영도구 남항로 13,(남항동1가) "
416,왕대박(복권방),대구 북구 칠성남로 143 1층전체
417,경기상회,인천 남동구 장승남로 42 은빛프라자 104호
418,형제상회,"대전 서구 계룡로 664-1,(용문동) "
419,설악복권방,경기 가평군 신천중앙로 80 성화알미늄 1층
420,복권닷컴,경기 성남시 수정구 탄리로 79 
421,협신복권방,경기 여주시 도예로 28 CU편의점내
422,복권판매점,충남 서산시 고운로 164 미림화랑 옆 1층 상가
423,진영슈퍼,서울 강서구 등촌로 79 
424,GS25(구로미성점),서울 구로구 구로중앙로 228 기임빌딩101호
425,가로매점,서울 마포구 마포대로 63 하나은행 
426,인터넷 복권판매사이트,동행복권(dhlottery.co.kr) 
427,9스토아,서울 용산구 보광로 117 
428,뉴빅마트,부산 기장군 정관중앙로 48 106호
429,토토죤,광주 광산구 비아중앙로31번길 10 1층
430,도래울 행운로또,경기 고양시 덕양구 도래울로 103 대영프라자 파리바게뜨 왼쪽
431,배곧로또판매점,경기 시흥시 은계번영길 7 단디프라자 112호
432,해피타임,경기 평택시 서동대로 2044 
433,로또마트,경기 하남시 미사강변중앙로 120-1 미사강변 아란티움 상가 내
434,한방복권방,경기 화성시 효행로763번길 23 
435,왔다복권,"충남 천안시 서북구 서부16길 9,(성정동) "
436,대박복권,충남 홍성군 충서로 2423 세븐일레븐
437,효자로또판매점,전북 전주시 완산구 우전로 337  103호
438,티켓코리아,제주 제주시 관덕로 54-3 
439,가로판매소,서울 구로구 새말로 97 신도림테크노마트 신도림역배수펌프장앞
440,씨스페이스(동작점),서울 동작구 대림로 34 현덕빌딩 
441,가로판매점,서울 용산구 원효로 166 
442,뉴빅마트,부산 기장군 정관중앙로 48 106호
443,토토복권,"대구 서구 달서로12길 9,(비산동) "
444,행복세상,대전 대덕구 중리로 52 
